Week;VOLUME_OF_SALES;ACTUAL_PRICE;COMPETITOR1_PRICE;COMPETITOR2_PRICE;COMPETITOR3_PRICE;COMPETITOR4_PRICE;COMPETITOR5_PRICE;COMPETITOR6_PRICE;COMPETITOR7_PRICE;TYPE_OF_PROMOTION
135;56304;1.091;0.68;0.645;1.158;0.502;0.759;0.609;0.748;
136;164352;0.855;0.709;0.64;1.15;0.548;0.782;0.589;0.759;A
137;219624;0.786;0.618;0.595;1.157;0.544;0.803;0.573;0.738;A
138;73788;0.856;0.623;0.558;1.179;0.472;0.717;0.606;0.721;A
139;55728;1.03;0.726;0.622;1.228;0.5;0.768;0.592;0.725;
140;179784;0.883;0.62;0.58;1.186;0.514;0.694;0.597;0.797;C
141;80772;0.91;0.638;0.471;1.21;0.42;0.479;0.589;0.812;C
142;170808;0.872;0.592;0;1.186;0;0;0.585;0.797;C
143;78408;0.901;0.643;0;1.176;0;0;0.575;0.667;
144;169092;0.843;0.628;0;1.222;0;0;0.563;0.738;D
145;78192;0.914;0.614;0;1.182;0;0;0.569;0.655;D
146;149748;0.98;0.637;0;1.205;0;0;0.585;0.656;
